basename,date,cloud_cover,satellite,region,red_mean,green_mean,blue_mean,red_std,green_std,blue_std,red_green_ratio,blue_green_ratio,red_blue_ratio,brightness_mean,brightness_std,brightness_max,saturation_mean,saturation_std,hue_mean,edge_density,edge_mean,edge_std,edge_max,canny_edge_count,canny_edge_density,terminus_y,terminus_x,terminus_width,glacier_top_y,glacier_length,contrast,dissimilarity,homogeneity,energy,correlation,ASM,lbp_mean,lbp_std,local_std_3x3,local_std_5x5,local_std_7x7,entropy_mean,entropy_std,glacier_area,glacier_percentage,perimeter,eccentricity,solidity,extent,major_axis,minor_axis,orientation,centroid_y,centroid_x,bbox_height,bbox_width,bbox_area,convex_area,filled_area,red_min,red_max,red_median,red_range,red_percentile_25,red_percentile_75,red_skewness,red_kurtosis,green_min,green_max,green_median,green_range,green_percentile_25,green_percentile_75,green_skewness,green_kurtosis,blue_min,blue_max,blue_median,blue_range,blue_percentile_25,blue_percentile_75,blue_skewness,blue_kurtosis,gradient_mean,gradient_std,gradient_max,gradient_direction_mean,gradient_direction_std
Filchner_East_2020-11-14_S2_RAW,2020-11-14,22.966096,SENTINEL2,Filchner_East,154.94473696558413,161.87433285706004,159.4343741115878,112.29100025905781,117.13865379946895,115.36225367051917,0.9571915091832955,0.9849268336585191,0.9718402184527751,158.75114797807734,114.9151007157721,255.0,0.029017286936640133,0.02751348472661723,1.5782058679911233,0.6576739033830736,5.809452378441575,16.316513843708513,280.5160175660405,155892,0.14342664670796412,1097,453.6145833333333,986,1,1096,292.9607341277949,5.249721792391255,0.4899197856485229,0.3414988578334776,0.9888401181162138,0.11662270912057073,21.563093022335774,7.430963933998603,3.8319837010658957,4.741559256104197,5.349263839002883,2.5399625663387138,1.9674172131123866,715166,65.79802762139678,4415.633872589878,0.7943671862047214,0.9978136907328112,0.6579802762139678,1312.4197430486224,797.2134614423494,0.6200353253371292,668.5607481339997,371.867932759667,1099,989,1086911,716733.0,716233.0,0,255,230.0,255,0.0,242.0,-0.6383421781733938,-1.56432046272746,0,255,242.0,255,0.0,252.0,-0.6464320753478932,-1.5634625147187289,0,255,238.0,255,0.0,247.0,-0.6468488063605793,-1.5632171224522027,3.8610146126296416,10.148298027138964,282.5871055483994,0.11436241636287109,1.4787000665894414
Thwaites_East_2018-12-21_S2_RAW,2018-12-21,0.01417,SENTINEL2,Thwaites_East,87.5355104608196,89.20213292889798,89.80892731122088,112.71112327848898,114.74930590897392,115.4491756974252,0.9813163383715839,1.0068024649444862,0.9746860705437386,88.84885690031284,114.29781199035206,255.0,0.010361981076005987,0.02449308600731956,-0.6359352558328514,0.3772502925873488,2.97686168398451,14.774659459751005,285.0986671312232,59533,0.06523821212692374,761,1025.3703703703704,553,1,760,214.59836091483862,2.6238580624946244,0.7541757940922923,0.6214521861196782,0.9917374217471,0.38620319548811705,22.225754700026737,5.6720354702015205,1.7047527931059379,2.3725656312165473,2.8842058712392453,1.2191620749494654,1.6592733153437564,344337,37.733576754318676,3617.6662684342314,0.803357164061309,0.9953576167172049,0.8131415819489214,886.2526629195079,527.7612410033692,0.21194778842318487,352.74303952232844,964.8947048966564,763,555,423465,345943.0,344581.0,0,255,0.0,255,0.0,231.0,0.5208851324957569,-1.7147250690528657,0,255,0.0,255,0.0,236.0,0.5176884270488185,-1.7199591632971993,0,255,0.0,255,0.0,237.0,0.515393660443417,-1.723296974332718,1.764307558066674,8.799373363539432,180.31222920256963,-0.0337746097309224,1.1218280920790922
Cook_Front_2018-12-19_S2_RAW,2018-12-19,0.008758,SENTINEL2,Cook_Front,241.8407932338501,244.1433522953127,245.26748544278638,7.20051273708491,6.296632904705504,5.56442004503303,0.9905688234395319,1.004604397935904,0.9860287546763543,243.75054365731637,6.299831584774439,255.0,0.014346013976026273,0.010433723096169408,-1.0892760756265722,0.9859416798272472,2.7198822841516517,4.492587984958834,128.39565586282285,302050,0.20281394699240446,1309,512.6788511749347,1133,1,1308,96.28494288187925,4.438330957343552,0.28348740334415196,0.058558636477606146,0.6391655305727986,0.003445973123136353,20.22803593107079,8.810545448303012,1.8330117842167506,2.106376916570188,2.2376741219769287,3.377690666748823,0.7128401284223281,1123758,75.45565152931319,32163.937064582722,0.663169950730687,0.7979218166325945,0.661482337963709,1474.3764015389397,1103.524806799324,0.8586188496831187,503.50427704404336,634.589692054859,1311,1136,1489296,1234636.0,1069425.0,101,255,242.0,154,239.0,246.0,-2.867162969105068,27.31856610250212,117,255,244.0,138,241.0,248.0,-2.4983207190327197,23.890846343169407,128,255,246.0,127,243.0,248.0,-2.5557692192583357,25.337067404450586,1.8747449192434504,3.2374622047567967,110.78106536969413,0.30386549906197313,1.7649945717586566
Larsen_B_Remnant_2024-11-07_S2_RAW,2024-11-07,10.894796,SENTINEL2,Larsen_B_Remnant,170.70772823414612,174.34430143751942,176.75047767402052,104.53251491044296,106.13515394914329,107.26833048442144,0.9791414277754615,1.0138012898417676,0.9658119767511149,173.93416911522863,105.95015460588723,255.0,0.029396233204852382,0.04906088335863959,-1.6312058975678054,0.7385876112755599,10.939421086520753,22.619647062760723,285.0986671312232,222076,0.1513265845694256,1126,1191.867924528302,1298,1,1125,591.7119716556962,9.599822109759351,0.3815424111498404,0.2598725838429914,0.9734750786206309,0.06753483804847309,20.903879857828947,7.972691234530899,6.864443760322508,8.668501571405654,9.821245149114894,3.2080331592430147,2.024173611186301,1075666,73.29781782698525,9642.39995900447,0.767054643906481,0.9890273497812735,0.7328643814632497,1536.2117601853367,985.6054669769006,1.048739899579197,448.1545784793849,755.427668459013,1128,1301,1467528,1087431.0,1082076.0,0,255,233.0,255,0.0,243.0,-0.9585188263541411,-0.9912949112459088,0,255,238.0,255,0.0,246.0,-0.9835667541530718,-0.9631761166102262,0,255,242.0,255,0.0,249.0,-0.9932960705408789,-0.9493376148320816,7.0357198506034155,13.98378417439377,264.9146613114831,0.012967054127296892,1.5452021325491736
Thwaites_East_2024-11-23_S2_RAW,2024-11-23,2.085139,SENTINEL2,Thwaites_East,89.75183442405222,91.81704743202549,92.34393149730207,115.71231238590815,118.18104293241919,118.7179460742892,0.9775073032096795,1.0057384122002624,0.9719299684200389,91.30427111779322,117.5262924252821,255.0,0.011590735821697038,0.02747917816623285,-0.26724351452813505,0.365145723841376,3.954332623794421,15.699457679893966,285.0986671312232,60676,0.06649074897977969,761,992.4556962025316,553,1,760,247.92109359225196,3.476836992778616,0.7342359386310866,0.6216400547313418,0.9909706251049119,0.386436912609403,22.13783055795421,5.654030795796239,2.275034473129746,3.111442361429829,3.72558620025945,1.339701213681544,1.8188753660788977,345176,37.82551712348282,2996.3544725075503,0.8025142613787263,0.9977828717447672,0.815122855489828,886.1514664396559,528.7071511356975,0.2081359116375819,352.3030193292697,965.244947505041,763,555,423465,345943.0,345539.0,0,255,0.0,255,0.0,237.0,0.5291937490295011,-1.6976410378506033,0,255,0.0,255,0.0,243.0,0.5226877641591686,-1.7088587363106151,0,255,0.0,255,0.0,244.0,0.5179917909397762,-1.716339286896824,2.3777580631470254,9.376106290220983,180.31222920256963,-0.07325933084828032,1.1009476059009062
Dotson_Front_2018-02-14_S2_RAW,2018-02-14,17.287233,SENTINEL2,Dotson_Front,4.862000980338761,6.069386199008768,7.174513915364087,17.424592938930093,17.193674071596917,17.210164618496318,0.8010696338705057,1.1820822864126848,0.6776767091996448,6.035300364903874,17.2448262725329,255.0,0.3791247134793687,0.2825296543283433,-1.4851081672172721,0.6913920810413376,1.1647188136654463,6.521347802991138,270.37283928350166,155024,0.1407185520033404,901,841.5344827586207,1045,1,900,42.90809265864913,0.996293138053156,0.8133715406824683,0.4101161966134224,0.9249574420970322,0.1682069417515177,22.170496341884064,5.98175253882376,0.6382256555022724,0.8882308822173058,1.0753161749897087,0.9310793845101382,1.168528832916206,4562,0.4141023546284698,288.8883476483185,0.8139568915433828,0.9560776302349336,0.5525383707201889,98.26712032540955,57.08585420088097,-0.9579743305510304,875.9810363247864,1188.0560897435898,77,88,6776,3916.0,3744.0,0,255,2.0,255,0.0,3.0,10.519792549312548,132.81396321925376,0,255,4.0,255,0.0,5.0,10.470386490587167,131.9944167730463,0,255,5.0,255,0.0,6.0,10.11014811887864,125.33635128376469,0.678467339788229,3.724217859579757,213.16920769921512,0.21060099270656402,1.445260920420338
McMurdo_Sound_2019-11-09_S2_RAW,2019-11-09,28.791547,SENTINEL2,McMurdo_Sound,14.216186386080027,14.613293437578713,15.147015602632209,51.646887816649645,52.64267643768217,54.093322920545155,0.9728256293974915,1.0365230580792522,0.9385470219965787,14.658831808763644,52.764773998523935,255.0,0.010472010028596391,0.0645843923530624,-0.16190148823546804,0.08572144611984675,1.7289556122963792,10.882049218063887,280.734057625916,12032,0.015229242373037964,192,4.5,674,1,191,123.68304061476327,1.537123370526791,0.9300196320600779,0.9167234749039977,0.9774004950930154,0.8403823124019191,23.549738690401604,2.9960460425412085,0.9303497660700837,1.3182800821645935,1.6203414331281518,0.3787356775862601,1.2727490515588669,54922,6.951632726163489,2363.6580797387683,0.9724301867320143,0.9252202624618857,0.49165241833692896,612.1397423418294,142.74743359062077,-1.4654895023832424,53.728797203306506,286.2150504351626,169,661,111709,59361.0,55712.0,0,255,0.0,255,0.0,0.0,3.5259482951156755,10.793426569505689,0,255,0.0,255,0.0,0.0,3.459812951418551,10.2581159110949,0,255,0.0,255,0.0,0.0,3.413761440261238,9.912320211869408,1.005366703492761,6.245608391666935,200.75115884541682,0.004107318050863827,0.5246085871371993
Pine_Island_East_2019-11-06_S2_RAW,2019-11-06,4.123752,SENTINEL2,Pine_Island_East,23.131154208247036,23.379575723341492,23.38801355676897,71.15422680573855,71.92393596334546,71.99407949448882,0.9893744215834774,1.0003609061784222,0.9890174790604868,23.299581162785834,71.67934702457185,255.0,0.0015358772005378547,0.011356303866783171,0.08890857241449375,0.09636226699303332,0.5849551577133666,10.114046449167,285.0986671312232,12780,0.016042176614573526,676,262.5664739884393,668,452,224,111.98627456180516,0.5740817116875915,0.9575916914633039,0.904274922601893,0.9889441784466912,0.8177132427080712,23.60969811083914,2.790021732361658,0.31485329078133717,0.5268857695500029,0.7281779643146851,0.2023988460738912,0.6339191977531848,76162,9.560283687943262,1674.973700810057,0.9592143406477674,0.9923516918787215,0.5022354694485842,644.0753213411026,182.06705951659515,1.3894505725184274,602.0337569916757,223.77295764291904,226,671,151646,76749.0,76162.0,0,255,0.0,255,0.0,0.0,2.7519822787461456,5.576691191184457,0,255,0.0,255,0.0,0.0,2.7527810064544664,5.582961131994056,0,255,0.0,255,0.0,0.0,2.7567634153468927,5.608672996389361,0.3195918941642112,5.785476186756268,269.745971033654,-0.015314679921934773,0.5340699703141906
Moscow_Uni_Front_2022-11-18_S2_RAW,2022-11-18,15.042251,SENTINEL2,Moscow_Uni_Front,127.08578437308276,131.48437954083116,133.8950997368336,113.26812779342364,114.08278086175203,110.88591361821915,0.9665466332715279,1.0183346508864348,0.9491444020189743,130.82175455024912,112.70149108979092,255.0,0.3682487391852903,0.3868068879172252,-0.3065361021114009,0.939778488165585,5.968409592273694,18.82191507120716,269.90875515831476,152227,0.1536082453421163,835,518.0473684210526,1181,1,834,386.19976588065975,5.407730269530716,0.5917180707098836,0.16845588704000078,0.9847890407774244,0.02840731146772373,21.012254189673545,7.3587828570953535,3.5786092650681005,4.706661401709284,5.556970832386949,2.0759911104181525,1.648447210423717,544595,54.953643159288326,6305.179253956438,0.6805242016931639,0.8956697478713183,0.6757047234844509,1023.4244247580392,749.8892798858398,-0.8722609913693934,353.74826699711474,354.682621883554,837,956,800172,603660.0,542737.0,0,255,186.0,255,2.0,239.0,-0.13432324736533924,-1.9135600393920498,0,255,203.0,255,5.0,242.0,-0.1590336990950135,-1.9202132115180985,0,255,207.0,255,11.0,240.0,-0.16494677075305267,-1.9210116298662685,3.7150428631158663,11.432687960914174,242.1239352067449,0.15055938579254188,1.7352045918361756
Totten_Front_2024-11-13_S2_RAW,2024-11-13,4.307407,SENTINEL2,Totten_Front,142.17290195250922,142.44277459876122,143.3722465648002,118.39894057394515,118.6200659741785,119.40124312969893,0.9981053960293038,1.006525230700936,0.9916347505104618,142.66264103869023,118.80283196169854,255.0,0.0057775386827768815,0.009419180761337164,-1.0016773767248108,0.5915339547931433,2.306329158581944,10.993983388050484,279.5830725284427,211203,0.131079403696486,1188,1321.2692307692307,1351,1,1187,137.20431687557792,2.1594984548432885,0.6132644409210258,0.41327064199425556,0.9951117099050392,0.1707939754432075,22.055274133286993,6.842165082198922,1.5551063137531511,1.9669085879211121,2.2821677672980485,1.817279509516003,1.5685137985333935,951720,59.066817273438176,4598.963779011039,0.7916417364306055,0.998319560442327,0.5906681727343818,1513.5270549338766,924.7431834242846,0.8447042120408406,446.7969707476989,878.9629092590258,1190,1354,1611260,953322.0,951720.0,0,255,238.0,255,0.0,242.0,-0.3666433983837008,-1.8630146541246921,0,255,238.0,255,0.0,242.0,-0.3667961480488066,-1.8630542562101087,0,255,240.0,255,0.0,244.0,-0.3666293690180844,-1.8632120423764758,1.5593099274271147,6.837564632588541,268.1072028540491,-0.016829778072375227,1.3712459379431798
