Region,Satellite,Image Type,Date,Cloud Cover,Product ID,Bands,Values,Processing,basename,metadata_path,image_path
Filchner_East,SENTINEL2,RAW (unprocessed),2020-11-14,22.966096%,S2B_MSIL2A_20201114T100059_N0214_R093_T24CVU_20201114T122102,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Filchner_East_2020-11-14_S2_RAW,../data/raw/raw_images/metadata/Filchner_East_2020-11-14_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Filchner_East_2020-11-14_S2_RAW.tif
Thwaites_East,SENTINEL2,RAW (unprocessed),2018-12-21,0.01417%,S2B_MSIL2A_20181221T152259_N0211_R039_T13CDS_20181221T202759,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Thwaites_East_2018-12-21_S2_RAW,../data/raw/raw_images/metadata/Thwaites_East_2018-12-21_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Thwaites_East_2018-12-21_S2_RAW.tif
Cook_Front,SENTINEL2,RAW (unprocessed),2018-12-19,0.008758%,S2B_MSIL2A_20181219T230339_N0211_R015_T55DFD_20181220T002634,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Cook_Front_2018-12-19_S2_RAW,../data/raw/raw_images/metadata/Cook_Front_2018-12-19_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Cook_Front_2018-12-19_S2_RAW.tif
Wilkins_South,SENTINEL2,RAW (unprocessed),2021-11-08,60.437962%,S2B_MSIL2A_20211108T135009_N0301_R081_T18DWH_20211108T172407,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Wilkins_South_2021-11-08_S2_RAW,../data/raw/raw_images/metadata/Wilkins_South_2021-11-08_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Wilkins_South_2021-11-08_S2_RAW.tif
Larsen_B_Remnant,SENTINEL2,RAW (unprocessed),2024-11-07,10.894796%,S2B_MSIL2A_20241107T125859_N0511_R009_T21DVH_20241107T161948,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Larsen_B_Remnant_2024-11-07_S2_RAW,../data/raw/raw_images/metadata/Larsen_B_Remnant_2024-11-07_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Larsen_B_Remnant_2024-11-07_S2_RAW.tif
Dotson_Front,SENTINEL2,RAW (unprocessed),2019-11-01,64.395349%,S2B_MSIL2A_20191101T161339_N0213_R111_T12CVC_20191101T195716,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Dotson_Front_2019-11-01_S2_RAW,../data/raw/raw_images/metadata/Dotson_Front_2019-11-01_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Dotson_Front_2019-11-01_S2_RAW.tif
Larsen_C_North,SENTINEL2,RAW (unprocessed),2023-11-26,72.826684%,S2B_MSIL2A_20231126T130859_N0509_R052_T20DNL_20231126T145123,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Larsen_C_North_2023-11-26_S2_RAW,../data/raw/raw_images/metadata/Larsen_C_North_2023-11-26_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Larsen_C_North_2023-11-26_S2_RAW.tif
Thwaites_East,SENTINEL2,RAW (unprocessed),2024-11-23,2.085139%,S2B_MSIL2A_20241123T150229_N0511_R096_T13CDS_20241123T181137,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Thwaites_East_2024-11-23_S2_RAW,../data/raw/raw_images/metadata/Thwaites_East_2024-11-23_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Thwaites_East_2024-11-23_S2_RAW.tif
Dotson_Front,SENTINEL2,RAW (unprocessed),2018-02-14,17.287233%,S2A_MSIL2A_20180214T161341_N0500_R111_T12CVC_20230803T184208,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Dotson_Front_2018-02-14_S2_RAW,../data/raw/raw_images/metadata/Dotson_Front_2018-02-14_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Dotson_Front_2018-02-14_S2_RAW.tif
Larsen_C_North,SENTINEL2,RAW (unprocessed),2022-12-08,76.237357%,S2B_MSIL2A_20221208T125859_N0509_R009_T20DPL_20221208T145125,"B4 (Red), B3 (Green), B2 (Blue)","0-255 (8-bit, converted from 0-10000)",Minimal - divided by 40 for visibility,Larsen_C_North_2022-12-08_S2_RAW,../data/raw/raw_images/metadata/Larsen_C_North_2022-12-08_S2_RAW_metadata.txt,../data/raw/raw_images/raw_images/Larsen_C_North_2022-12-08_S2_RAW.tif
